tanggal,komoditas_id,komoditas,grup,satuan,harga_kemarin,harga,hari_nama,is_weekend,is_libur_nasional,nama_libur,is_ramadan,is_pra_ramadan
2020-01-02,61,Ikan Tuna,IKAN SEGAR,kg,35000,35000,Kamis,0,0,,0,0
2020-01-02,60,Ikan Tongkol,IKAN SEGAR,kg,30000,28000,Kamis,0,0,,0,0
2020-01-02,62,Ikan Cakalang,IKAN SEGAR,kg,30000,30000,Kamis,0,0,,0,0
2020-01-05,2,Beras Premium,BERAS,kg,12500,12500,Minggu,1,0,,0,0
2020-01-05,4,Beras Medium,BERAS,kg,9000,9000,Minggu,1,0,,0,0
2020-01-05,7,Gula Kristal Putih,GULA,kg,13000,13000,Minggu,1,0,,0,0
2020-01-05,10,Minyak Goreng Curah,MINYAK GORENG,kg,12500,12500,Minggu,1,0,,0,0
2020-01-05,92,Minyak Goreng Kemasan Premium,MINYAK GORENG,1 liter,12000,12000,Minggu,1,0,,0,0
2020-01-05,95,Minyak Goreng Kemasan Sederhana,MINYAK GORENG,1 Liter,0,0,Minggu,1,0,,0,0
2020-01-05,96,Minyak Goreng MINYAKITA,MINYAK GORENG,1 Liter,0,0,Minggu,1,0,,0,0
2020-01-05,12,Daging Sapi Paha Belakang,DAGING,kg,110000,110000,Minggu,1,0,,0,0
2020-01-05,13,Daging Ayam Ras,DAGING,kg,30000,30000,Minggu,1,0,,0,0
2020-01-05,14,Daging Ayam Kampung,DAGING,ekor,70000,70000,Minggu,1,0,,0,0
2020-01-05,16,Telur Ayam Ras,TELUR AYAM,kg,23000,23000,Minggu,1,0,,0,0
2020-01-05,17,Telur Ayam Kampung,TELUR AYAM,kg,40000,40000,Minggu,1,0,,0,0
2020-01-05,20,Susu Kental Manis Merk Bendera,SUSU,370 gr/kl,10000,10000,Minggu,1,0,,0,0
2020-01-05,21,Susu Kental Manis Merk Indomilk,SUSU,370 gr/kl,10000,10000,Minggu,1,0,,0,0
2020-01-05,23,Susu Bubuk Merk Bendera (Instant),SUSU,400 gr/dos,37900,37900,Minggu,1,0,,0,0
2020-01-05,24,Susu Bubuk Merk Indomilk (Instant),SUSU,400 gr/dos,39000,39000,Minggu,1,0,,0,0
2020-01-05,25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg,9750,9750,Minggu,1,0,,0,0
2020-01-05,27,Bata,GARAM BERYODIUM,Buah,2000,2000,Minggu,1,0,,0,0
2020-01-05,28,Halus,GARAM BERYODIUM,kg,8000,8000,Minggu,1,0,,0,0
2020-01-05,30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg,8500,8500,Minggu,1,0,,0,0
2020-01-05,32,Kedelai Impor,KACANG KEDELAI,kg,9000,9000,Minggu,1,0,,0,0
2020-01-05,33,Kedelai Lokal,KACANG KEDELAI,kg,8000,8000,Minggu,1,0,,0,0
2020-01-05,35,Indomie Rasa Kari Ayam,MIE INSTANT,Bungkus,2500,2500,Minggu,1,0,,0,0
2020-01-05,37,Cabe Merah Keriting,CABE,kg,45000,45000,Minggu,1,0,,0,0
2020-01-05,38,Cabe Merah Besar,CABE,kg,50000,50000,Minggu,1,0,,0,0
2020-01-05,50,Cabe Rawit Merah,CABE,kg,50000,50000,Minggu,1,0,,0,0
2020-01-05,39,Bawang Merah,BAWANG,kg,28000,28000,Minggu,1,0,,0,0
2020-01-05,49,Bawang Putih Sinco/Honan,BAWANG,kg,24000,24000,Minggu,1,0,,0,0
2020-01-05,40,Ikan Asin Teri,Ikan Asin Teri,kg,70000,70000,Minggu,1,0,,0,0
2020-01-05,41,KACANG HIJAU,KACANG HIJAU,kg,15000,15000,Minggu,1,0,,0,0
2020-01-05,42,KACANG TANAH,KACANG TANAH,kg,21000,21000,Minggu,1,0,,0,0
2020-01-05,43,KETELA POHON,KETELA POHON,kg,6000,6000,Minggu,1,0,,0,0
2020-01-05,44,KOL/KUBIS,SAYUR MAYUR,kg,6000,6000,Minggu,1,0,,0,0
2020-01-05,45,KENTANG,SAYUR MAYUR,kg,13000,13000,Minggu,1,0,,0,0
2020-01-05,46,Tomat Merah,SAYUR MAYUR,kg,12000,12000,Minggu,1,0,,0,0
2020-01-05,47,WORTEL,SAYUR MAYUR,kg,10000,10000,Minggu,1,0,,0,0
2020-01-05,48,BUNCIS,SAYUR MAYUR,kg,14000,14000,Minggu,1,0,,0,0
2020-01-05,58,Ikan Bandeng,IKAN SEGAR,kg,28000,28000,Minggu,1,0,,0,0
2020-01-05,59,Ikan Kembung,IKAN SEGAR,kg,28000,28000,Minggu,1,0,,0,0
2020-01-05,61,Ikan Tuna,IKAN SEGAR,kg,35000,35000,Minggu,1,0,,0,0
2020-01-05,60,Ikan Tongkol,IKAN SEGAR,kg,24000,24000,Minggu,1,0,,0,0
2020-01-05,62,Ikan Cakalang,IKAN SEGAR,kg,30000,30000,Minggu,1,0,,0,0
2020-01-03,2,Beras Premium,BERAS,kg,12500,12500,Jumat,0,0,,0,0
2020-01-03,4,Beras Medium,BERAS,kg,9000,9000,Jumat,0,0,,0,0
2020-01-03,7,Gula Kristal Putih,GULA,kg,13000,13000,Jumat,0,0,,0,0
2020-01-03,10,Minyak Goreng Curah,MINYAK GORENG,kg,12500,12500,Jumat,0,0,,0,0
2020-01-03,92,Minyak Goreng Kemasan Premium,MINYAK GORENG,1 liter,12000,12000,Jumat,0,0,,0,0
2020-01-03,95,Minyak Goreng Kemasan Sederhana,MINYAK GORENG,1 Liter,0,0,Jumat,0,0,,0,0
2020-01-03,96,Minyak Goreng MINYAKITA,MINYAK GORENG,1 Liter,0,0,Jumat,0,0,,0,0
2020-01-03,12,Daging Sapi Paha Belakang,DAGING,kg,110000,110000,Jumat,0,0,,0,0
2020-01-03,13,Daging Ayam Ras,DAGING,kg,30000,30000,Jumat,0,0,,0,0
2020-01-03,14,Daging Ayam Kampung,DAGING,ekor,70000,70000,Jumat,0,0,,0,0
