Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA GORONTALO,-0.19,0.73,0.35,0.4,-0.68,1.54,-0.4,-,-,-,-,-,-
KAB MAJENE,0.15,0.43,0.5,0.41,0.46,0.36,0.04,-,-,-,-,-,-
MAMUJU,1.58,0.07,-0.54,-0.02,-0.42,0.65,0.55,-,-,-,-,-,-
KAB MALUKU TENGAH,1.44,1.21,-1.4,-1.96,1.34,1.82,-0.26,-,-,-,-,-,-
KOTA AMBON,0.15,0.3,-0.43,0.92,0.73,1.28,-1.14,-,-,-,-,-,-
KOTA TUAL,2.35,-0.72,0.37,0.64,0.46,1.51,0.13,-,-,-,-,-,-
KAB HALMAHERA TENGAH,0.27,0.52,0.75,0.24,0.66,0.96,-0.66,-,-,-,-,-,-
KOTA TERNATE,1.74,0.9,-0.82,0.94,-0.08,2.77,-0.67,-,-,-,-,-,-
MANOKWARI,0.02,-0.65,0.05,2,0.56,1.59,-0.2,-,-,-,-,-,-
KAB SORONG,-0.12,0.05,0.38,0.03,0.49,0.92,0.48,-,-,-,-,-,-
KAB SORONG SELATAN,0.2,-0.11,0.2,0.26,0.13,0.86,-0.19,-,-,-,-,-,-
KOTA SORONG,0.29,-0.81,1.35,0.9,-0.18,2.06,-0.26,-,-,-,-,-,-
KOTA JAYAPURA,-0.36,0.06,0.7,0.98,-0.68,1,-1.31,-,-,-,-,-,-
MERAUKE,1.06,0.59,0.35,0.94,-0.5,0.43,-0.03,-,-,-,-,-,-
TIMIKA,0.28,0.32,0.26,0.28,0.69,1.04,0.26,-,-,-,-,-,-
KAB NABIRE,-1.4,-0.71,0.27,0.05,0.21,2.28,-1.01,-,-,-,-,-,-
KAB JAYAWIJAYA,-0.05,0.49,2.57,0.77,0.48,1.7,-1.37,-,-,-,-,-,-
INDONESIA,-0.15,0.68,0.41,0.13,0.28,0.44,-0.14,-,-,-,-,-,-
